filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 2188).jpg,0,1000,600,293.883,0.071424,0.251232,0.413248,273.791
cat_1000x600 (Copy 4384).jpg,0,1000,600,993.968,0.073728,0.2152,0.578816,972.221
cat_1000x600 (Copy 4235).jpg,0,1000,600,948.847,0.07472,0.215424,0.53696,892.443
cat_1000x600 (Copy 2900).jpg,0,1000,600,522.349,0.073728,0.215168,0.538624,501.8
cat_1000x600 (Copy 3484).jpg,0,1000,600,295.518,0.07264,0.251264,0.434944,276.193
cat_1000x600 (Copy 4047).jpg,0,1000,600,975.598,0.072704,0.23248,0.402336,955.806
cat_1000x600 (Copy 1866).jpg,0,1000,600,126.417,0.074752,0.206304,0.55424,107.184
cat_1000x600 (Copy 3020).jpg,0,1000,600,210.473,0.07472,0.206304,0.564832,191.206
cat_1000x600 (Copy 1379).jpg,0,1000,600,992.637,0.073728,0.259584,0.585472,937.67
cat_1000x600 (Copy 1825).jpg,0,1000,600,151.478,0.073504,0.2064,0.557312,132.433
cat_1000x600 (Copy 2002).jpg,0,1000,600,588.956,0.072704,0.206144,0.43056,525.228
cat_1000x600 (Copy 1149).jpg,0,1000,600,378.459,0.074752,0.206176,0.609504,359.178
cat_1000x600 (Copy 4623).jpg,0,1000,600,247.769,0.072704,0.205568,0.561344,228.313
cat_1000x600 (Copy 2771).jpg,0,1000,600,135.785,0.0768,0.260032,0.551616,116.481
cat_1000x600 (Copy 3464).jpg,0,1000,600,314.311,0.07168,0.196768,0.551904,295.107
cat_1000x600 (Copy 4111).jpg,0,1000,600,612.27,0.073728,0.269248,0.558976,592.985
cat_1000x600 (Copy 1340).jpg,0,1000,600,142.182,0.071552,0.269056,0.54768,123.093
cat_1000x600 (Copy 1036).jpg,0,1000,600,471.741,0.072704,0.197024,0.546752,452.617
